"","timestamp","open","high","low","close","volume"
"815",2015-06-19,21,22.12,20.82,21.87,36301091
"816",2015-06-26,21.91,22.03,20.65,20.74,48835681
"817",2015-07-02,20.5,20.9,19.97,20.42,28908069
"818",2015-07-10,20.25,20.53,19.16,19.75,42895489
"819",2015-07-17,19.95,20.19,19.57,20.07,30767167
"820",2015-07-24,20.07,20.15,19.17,19.42,26334059
"821",2015-07-31,19.25,20.22,19.09,19.95,25798976
"822",2015-08-07,20.11,23.37,19.85,22.98,73810141
"823",2015-08-14,22.82,23.95,22.68,23.54,49323264
"824",2015-08-21,23.5,23.5,21.45,21.47,40495838
"825",2015-08-28,20.27,22.87,20,22.73,67616337
"826",2015-09-04,22.63,22.78,21.4,21.75,36684278
"827",2015-09-11,22.28,22.94,21.995,22.65,29662571
"828",2015-09-18,22.76,23.71,22.5701,23.29,32226756
"829",2015-09-25,23.32,24.07,22.5,23.61,35599687
"830",2015-10-02,23.61,24.8006,23.15,24.8,54815516
"831",2015-10-09,24.96,26.28,24.83,26.07,53247847
"832",2015-10-16,26.1,28.12,25.905,27.86,52816602
"833",2015-10-23,27.95,28.78,27.36,28.59,40871891
"834",2015-10-30,28.61,28.68,27.63,28.37,32526607
"835",2015-11-06,28.46,31.94,27.63,31.55,66504749
"836",2015-11-13,31.24,31.5,29.65,29.8,56224397
"837",2015-11-20,30.19,31.57,29.95,31.39,36133919
"838",2015-11-27,31.65,31.65,30.78,31.39,16582121
"839",2015-12-04,31.42,33.81,31.39,33.75,43409846
"840",2015-12-11,33.74,33.75,32.37,32.49,37116744
"841",2015-12-18,32.52,33.56,32.1,32.14,36751341
"842",2015-12-24,32.49,33.26,32.2,33.17,14730012
"843",2015-12-31,32.82,33.94,32.36,32.96,16863987
"844",2016-01-08,32.29,33.44,29.565,29.63,58536682
"845",2016-01-15,29.66,30.62,26.64,27.11,70052917
"846",2016-01-22,27.67,28.64,26.45,28.45,41944728
"847",2016-01-29,28.44,29.345,27.5,29.29,32941986
"848",2016-02-05,29.26,29.45,26.35,26.43,47678295
"849",2016-02-12,26.03,26.55,24.75,25.73,51274616
"850",2016-02-19,26.1,30.975,26.02,30.44,71277682
"851",2016-02-26,30.88,32.1162,30.6,31.68,46686923
